tract,Name,Household_Income
25025070200,"Chinatown, Boston, MA",88215
25025010701,"Back Bay West, Boston, MA",71928
25025040200,"Charlestown, Boston, MA",68005
25025000100,"Lower Allston, Boston, MA",67649
25025120105,"Jamaica Hills / Pond, Boston, MA",67595
25025030500,"North End, Boston, MA",67530
25025071201,"Harrison Lenox, Boston, MA",66592
25025000803,"Allston, Boston, MA",65820
25025010104,"Boston, MA",65203
25025060200,"City Point, Boston, MA",64105
25025010408,"Fenway/Kenmore, Boston, MA",64088
25021401100,"Brookline, MA",63771
25017353102,"Area 2/MIT, Cambridge, MA",62994
25025120700,"Jamaica Plain, Boston, MA",62940
25021400400,"Corey Hill, Brookline, MA",62710
25021400800,"Coolidge Corner South Side, Brookline, MA",62537
25025180200,"Winthrop, MA",62473
25025051101,"East Boston, Boston, MA",62382
25017354100,"West Cambridge, Cambridge, MA",62213
25017353300,"Cambridgeport, Cambridge, MA",62166
25025070101,"Boston, MA",62053
25025010802,"Back Bay West, Boston, MA",61823
25025060301,"South Boston, Boston, MA",61745
25025020301,"West End, Boston, MA",61719
25021400500,"Aspinwall Hill, Brookline, MA",61426
25021401000,"High Street Hill, Brookline, MA",60698
25025180301,"Winthrop, MA",60698
25017351100,"Spring Hill, Somerville, MA",60414
25017351000,"Spring Hill, Somerville, MA",60287
25025091001,"Dorchester, Boston, MA",60058
25021400900,"Brookline Village, Brookline, MA",59897
25017350400,"Powder House Square, Somerville, MA",59790
25017350104,"Somerville, MA",59734
25025030100,"North End, Boston, MA",59664
25017352600,"Wellington-Harrington, Cambridge, MA",59092
25021400200,"North Brookline, Brookline, MA",58708
25025020101,"Beacon Hill, Boston, MA",58603
25025170800,"Revere, MA",58561
25025040100,"Charlestown, Boston, MA",58463
25017350200,"Winter Hill, Somerville, MA",58410
25021400300,"North Brookline, Brookline, MA",58274
25025180400,"Winthrop, MA",58269
25017351204,"Ward Two, Somerville, MA",58131
25017350103,"Ten Hills, Somerville, MA",58122
25017352200,"East Cambridge, Cambridge, MA",57878
25025020200,"Beacon Hill, Boston, MA",57823
25017352102,"East Cambridge, Cambridge, MA",57662
25025170701,"Revere, MA",57661
25025180101,"Winthrop, MA",57148
25025030300,"Downtown, Boston, MA",57136
25025050600,"Central-Maverick Square / Paris Street, Boston, MA",57009
25017351500,"Ward Two, Somerville, MA",56823
25017354000,"Neighborhood Nine, Cambridge, MA",56678
25025050400,"Jeffries Point, Boston, MA",56589
25021400600,"Fisher Hill, Brookline, MA",56504
25017354800,"North Cambridge, Cambridge, MA",56441
25025000802,"Allston, Boston, MA",56224
25021400100,"Brookline, MA",56179
25025010404,"Fenway/Kenmore, Boston, MA",56118
25017351404,"East Somerville, Somerville, MA",55757
25017353800,"Mid-Cambridge, Cambridge, MA",55412
25025060800,"D Street / West Broadway, Boston, MA",55316
25025060400,"South Boston, Boston, MA",55278
25025030400,"North End, Boston, MA",55165
25017354600,"Neighborhood Nine, Cambridge, MA",54573
25025081100,"Mission Hill, Boston, MA",54529
25025050700,"Central-Maverick Square / Paris Street, Boston, MA",54389
25017352700,"Wellington-Harrington, Cambridge, MA",53991
