tract,Name,Household_Income
25025070200,"Chinatown, Boston, MA",68419
25025010701,"Back Bay West, Boston, MA",68309
25025010104,"Boston, MA",64308
25025120105,"Jamaica Hills / Pond, Boston, MA",63770
25021400300,"North Brookline, Brookline, MA",58293
25017350103,"Ten Hills, Somerville, MA",57658
25021401000,"High Street Hill, Brookline, MA",56292
25021400400,"Corey Hill, Brookline, MA",56269
25021400800,"Coolidge Corner South Side, Brookline, MA",55989
25025010802,"Back Bay West, Boston, MA",55883
25021400500,"Aspinwall Hill, Brookline, MA",55743
25025000803,"Allston, Boston, MA",55572
25025030500,"North End, Boston, MA",55396
25025000100,"Lower Allston, Boston, MA",53623
25025010408,"Fenway/Kenmore, Boston, MA",52744
25025060200,"City Point, Boston, MA",52380
25025091001,"Dorchester, Boston, MA",52099
25025180200,"Winthrop, MA",51922
25025070101,"Boston, MA",51874
25017354100,"West Cambridge, Cambridge, MA",51749
25021401100,"Brookline, MA",51652
25025010204,"Fenway/Kenmore, Boston, MA",51598
25025180400,"Winthrop, MA",51408
25025020301,"West End, Boston, MA",51173
25025071201,"Harrison Lenox, Boston, MA",51084
25025180101,"Winthrop, MA",50595
25017352200,"East Cambridge, Cambridge, MA",50399
25021400900,"Brookline Village, Brookline, MA",49799
25025120700,"Jamaica Plain, Boston, MA",49689
25025030100,"North End, Boston, MA",49639
25025060301,"South Boston, Boston, MA",49338
25017353700,"Mid-Cambridge, Cambridge, MA",49242
25017350400,"Powder House Square, Somerville, MA",48966
25021400200,"North Brookline, Brookline, MA",48827
25025040200,"Charlestown, Boston, MA",48806
25017351500,"Ward Two, Somerville, MA",48683
25025180301,"Winthrop, MA",48405
25025030300,"Downtown, Boston, MA",48086
25021400100,"Brookline, MA",48071
25017351100,"Spring Hill, Somerville, MA",48016
25017354000,"Neighborhood Nine, Cambridge, MA",47998
25017351404,"East Somerville, Somerville, MA",47793
25025000802,"Allston, Boston, MA",47652
25017352102,"East Cambridge, Cambridge, MA",47383
25017350900,"Davis Square, Somerville, MA",47381
25017351204,"Ward Two, Somerville, MA",47139
25017351000,"Spring Hill, Somerville, MA",47049
25017350200,"Winter Hill, Somerville, MA",46982
25025051101,"East Boston, Boston, MA",46969
25017353300,"Cambridgeport, Cambridge, MA",46837
25017354600,"Neighborhood Nine, Cambridge, MA",46548
25017352101,"East Cambridge, Cambridge, MA",46509
25025020101,"Beacon Hill, Boston, MA",46430
25021400600,"Fisher Hill, Brookline, MA",46056
25017350104,"Somerville, MA",45980
25025050400,"Jeffries Point, Boston, MA",45662
25025170701,"Revere, MA",45640
25025050700,"Central-Maverick Square / Paris Street, Boston, MA",45224
25025070300,"Boston, MA",45071
25017352600,"Wellington-Harrington, Cambridge, MA",45009
25025010404,"Fenway/Kenmore, Boston, MA",45001
25017351403,"East Somerville, Somerville, MA",44910
25021400700,"Emerson Gardens, Brookline, MA",44892
25025060400,"South Boston, Boston, MA",44878
25017353500,"Riverside, Cambridge, MA",44833
25025050600,"Central-Maverick Square / Paris Street, Boston, MA",44807
25025081100,"Mission Hill, Boston, MA",44526
25017352700,"Wellington-Harrington, Cambridge, MA",44457
25017354700,"North Cambridge, Cambridge, MA",44407
25025160502,"Chelsea, MA",44296
25025040300,"Charlestown, Boston, MA",44131
25025170800,"Revere, MA",43848
25017351203,"Ward Two, Somerville, MA",43814
25017353800,"Mid-Cambridge, Cambridge, MA",43766
25017342400,"Everett, MA",43701
25017350300,"Magoun Square, Somerville, MA",43689
25025050901,"Eagle Hill, Boston, MA",43586
25025070402,"South End, Boston, MA",43253
25025070600,"Columbus, Boston, MA",43246
25017351300,"Prospect Hill, Somerville, MA",42974
25017354500,"Neighborhood Nine, Cambridge, MA",42926
25025010403,"Fenway/Kenmore, Boston, MA",42890
25017353200,"Cambridgeport, Cambridge, MA",42822
25025070500,"South End, Boston, MA",42663
25025120600,"Hyde Square, Boston, MA",42387
25025081001,"Mission Hill, Boston, MA",42176
25025160400,"Chelsea, MA",42049
25025051200,"Jeffries Point, Boston, MA",41720
25025160200,"Chelsea, MA",41692
25017354800,"North Cambridge, Cambridge, MA",41578
25017353102,"Area 2/MIT, Cambridge, MA",41540
25025060800,"D Street / West Broadway, Boston, MA",41485
25025020200,"Beacon Hill, Boston, MA",41287
25025040100,"Charlestown, Boston, MA",41282
25025050500,"Jeffries Point, Boston, MA",41223
25017352800,"Wellington-Harrington, Cambridge, MA",41143
25025050101,"Eagle Hill, Boston, MA",41139
25025070800,"Columbus, Boston, MA",40995
25017353400,"Cambridgeport, Cambridge, MA",40978
25025020302,"Beacon Hill, Boston, MA",40956
25025160300,"Chelsea, MA",40820
25025120400,"Jamaica Plain, Boston, MA",40761
25017353900,"Riverside, Cambridge, MA",40325
25017355000,"North Cambridge, Cambridge, MA",40317
25025010300,"Fenway/Kenmore, Boston, MA",40151
25025000703,"Brighton, Boston, MA",40098
25017352300,"East Cambridge, Cambridge, MA",40096
25017353600,"Agassiz, Cambridge, MA",39949
25025050200,"Central-Maverick Square / Paris Street, Boston, MA",39658
25025090700,"Dorchester, Boston, MA",39480
25025040401,"Charlestown, Boston, MA",39238
25025080900,"Mission Hill, Boston, MA",39054
25017352900,"Mid-Cambridge, Cambridge, MA",39008
25025030400,"North End, Boston, MA",38981
25017352400,"The Port, Cambridge, MA",38918
25025051000,"East Boston, Boston, MA",38907
25017352500,"The Port, Cambridge, MA",38797
25025070700,"Columbus, Boston, MA",38770
25025160501,"Chelsea, MA",38674
25025160101,"Chelsea, MA",38470
25025040801,"Charlestown, Boston, MA",38371
25025060501,"City Point, Boston, MA",38131
25025061000,"Columbus Park / Andrew Square, Boston, MA",38122
25017353101,"Cambridgeport, Cambridge, MA",37602
25025060101,"City Point, Boston, MA",37499
25025040600,"Charlestown, Boston, MA",37300
25017353000,"Mid-Cambridge, Cambridge, MA",37165
25025091300,"Dorchester, Boston, MA",37071
