"tract","Name","Household_Income_rP_gP_p25"
25025010701,"Back Bay West, Boston, MA",64675
25025010104,"Boston, MA",63388
25025120105,"Jamaica Hills / Pond, Boston, MA",59952
25021400300,"North Brookline, Brookline, MA",58312
25017350103,"Ten Hills, Somerville, MA",57180
25017339801,"Medford, MA",57068
25025010204,"Fenway/Kenmore, Boston, MA",56327
25021401000,"High Street Hill, Brookline, MA",51993
25025070200,"Chinatown, Boston, MA",51829
25021400500,"Aspinwall Hill, Brookline, MA",50316
25025010802,"Back Bay West, Boston, MA",50231
25021400400,"Corey Hill, Brookline, MA",50174
25021400800,"Coolidge Corner South Side, Brookline, MA",49813
25017354200,"West Cambridge, Cambridge, MA",47173
25025000803,"Allston, Boston, MA",46386
25017350500,"Tufts, Somerville, MA",45804
25017353700,"Mid-Cambridge, Cambridge, MA",45138
25017350900,"Davis Square, Somerville, MA",45123
25025180400,"Winthrop, MA",45011
25025091001,"Dorchester, Boston, MA",44784
25025030500,"North End, Boston, MA",44783
25025180101,"Winthrop, MA",44452
25025170601,"Revere, MA",43964
25017352101,"East Cambridge, Cambridge, MA",43732
25017352200,"East Cambridge, Cambridge, MA",43485
25025070101,"Boston, MA",42818
25025010408,"Fenway/Kenmore, Boston, MA",42797
25025180200,"Winthrop, MA",42579
25017354100,"West Cambridge, Cambridge, MA",42478
25025070402,"South End, Boston, MA",42254
25025060200,"City Point, Boston, MA",42154
25025000704,"Allston, Boston, MA",41875
25025020301,"West End, Boston, MA",41847
25025000703,"Brighton, Boston, MA",41730
25025000100,"Lower Allston, Boston, MA",41708
25017351500,"Ward Two, Somerville, MA",41240
25021401100,"Brookline, MA",41156
25025070300,"Boston, MA",41004
25021400900,"Brookline Village, Brookline, MA",40818
25025030100,"North End, Boston, MA",40714
25025040300,"Charlestown, Boston, MA",40669
25021400100,"Brookline, MA",40647
25017351404,"East Somerville, Somerville, MA",40488
25017353500,"Riverside, Cambridge, MA",40267
25017354000,"Neighborhood Nine, Cambridge, MA",40119
25021400200,"North Brookline, Brookline, MA",40017
25025030300,"Downtown, Boston, MA",39914
25025000802,"Allston, Boston, MA",39859
25017354700,"North Cambridge, Cambridge, MA",39855
25017342400,"Everett, MA",39786
25017350400,"Powder House Square, Somerville, MA",39440
25017354600,"Neighborhood Nine, Cambridge, MA",39185
25021400700,"Emerson Gardens, Brookline, MA",39022
25025060301,"South Boston, Boston, MA",38644
25017339600,"South Medford, Medford, MA",38411
25025120700,"Jamaica Plain, Boston, MA",38393
25017352102,"East Cambridge, Cambridge, MA",38268
25025071201,"Harrison Lenox, Boston, MA",38218
25025010300,"Fenway/Kenmore, Boston, MA",38057
25025180301,"Winthrop, MA",37792
25025160400,"Chelsea, MA",37775
25017353101,"Cambridgeport, Cambridge, MA",37546
25017351203,"Ward Two, Somerville, MA",37543
25017351204,"Ward Two, Somerville, MA",37480
25017351100,"Spring Hill, Somerville, MA",37327
25017351403,"East Somerville, Somerville, MA",37292
25025081001,"Mission Hill, Boston, MA",37231
25017350200,"Winter Hill, Somerville, MA",36996
25017354500,"Neighborhood Nine, Cambridge, MA",36994
25025050700,"Central-Maverick Square / Paris Street, Boston, MA",36932
25021400600,"Fisher Hill, Brookline, MA",36794
25017353200,"Cambridgeport, Cambridge, MA",36709
25017350300,"Magoun Square, Somerville, MA",36663
25025160501,"Chelsea, MA",36506
25017339700,"South Medford, Medford, MA",36388
25025091200,"Dorchester, Boston, MA",36350
25025090700,"Dorchester, Boston, MA",36199
25025160502,"Chelsea, MA",36041
25017352300,"East Cambridge, Cambridge, MA",36035
25025050400,"Jeffries Point, Boston, MA",36024
25025020101,"Beacon Hill, Boston, MA",35886
25017352700,"Wellington-Harrington, Cambridge, MA",35862
25025050901,"Eagle Hill, Boston, MA",35810
25017351000,"Spring Hill, Somerville, MA",35749
25025070500,"South End, Boston, MA",35701
25025060400,"South Boston, Boston, MA",35624
25025081100,"Mission Hill, Boston, MA",35564
25017353900,"Riverside, Cambridge, MA",35368
25025070600,"Columbus, Boston, MA",35264
